etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,6,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,6,2,83,0.4439999999999999,1,6,6,1500.0,0.0,1885.2500000000005,1500.0,1.1368683772161603e-13,385.25000000000034
FW,6,2,84,0.5549999999999999,1,6,6,440.70250184643953,0.0,909.2000000000003,440.70250184643953,0.0,468.49749815356074
FW,6,3,85,0.4999998,1,6,6,1500.0,385.25000000000034,1404.9999999999998,1500.0,0.0,290.25000000000006
FW,6,3,86,0.4999998,1,6,6,1700.0,385.25000000000034,2132.5,1700.0,0.0,817.7500000000005
FW,6,3,87,0.4000001999999999,1,6,6,1499.9974981535624,468.49749815356074,1362.5000000000002,1499.9974981535624,0.0,330.99999999999864
FW,6,3,88,0.6,1,6,6,601.1641648202251,468.49749815356074,669.6666666666667,601.1641648202251,0.0,537.0000000000025
FW,6,4,13,0.1666667,1,6,6,1418.25,290.25000000000006,1128.0,1418.25,0.0,0.0
FW,6,4,16,0.1666667,1,6,6,1700.0,290.25000000000006,1447.0,1700.0,0.0,37.25
FW,6,4,19,0.1666667,1,6,6,1178.25,290.25000000000006,888.0,1178.25,0.0,0.0
FW,6,4,22,0.1666667,1,6,6,1247.25,290.25000000000006,957.0,1247.25,0.0,0.0
FW,6,4,25,0.1666667,1,6,6,1570.25,290.25000000000006,1280.0,1570.25,0.0,0.0
FW,6,4,28,0.1666667,1,6,6,1016.25,290.25000000000006,726.0,1016.25,0.0,0.0
FW,6,4,4,0.1666667,1,6,6,1700.0,817.7500000000005,1378.0,1700.0,0.0,495.75000000000045
FW,6,4,7,0.1666667,1,6,6,1700.0,817.7500000000005,1691.0,1700.0,0.0,808.7500000000005
FW,6,4,10,0.1666667,1,6,6,1700.0,817.7500000000005,1129.0,1700.0,0.0,246.75000000000045
FW,6,4,31,0.1666667,1,6,6,1700.0,817.7500000000005,1041.0,1700.0,0.0,158.75000000000045
FW,6,4,34,0.1666667,1,6,6,1700.0,817.7500000000005,1361.0,1700.0,0.0,478.75000000000045
FW,6,4,37,0.1666667,1,6,6,1622.7500000000007,817.7500000000005,805.0,1622.7500000000007,-2.2737367544323206e-13,0.0
FW,6,4,40,0.1666667,1,6,6,1111.9999999999986,330.99999999999864,781.0,1111.9999999999986,0.0,0.0
FW,6,4,43,0.1666667,1,6,6,1440.9999999999986,330.99999999999864,1110.0,1440.9999999999986,0.0,0.0
FW,6,4,46,0.1666667,1,6,6,894.9999999999986,330.99999999999864,564.0,894.9999999999986,0.0,0.0
FW,6,4,58,0.1666667,1,6,6,1172.9999999999986,330.99999999999864,842.0,1172.9999999999986,0.0,0.0
FW,6,4,61,0.1666667,1,6,6,1499.9999999999986,330.99999999999864,1169.0,1499.9999999999986,0.0,0.0
FW,6,4,64,0.1666667,1,6,6,949.9999999999986,330.99999999999864,619.0,949.9999999999986,0.0,0.0
FW,6,4,52,0.1111112,1,6,6,1500.0000000000025,537.0000000000025,963.0,1500.0000000000025,0.0,0.0
FW,6,4,55,0.2222222,1,6,6,966.0000000000025,537.0000000000025,429.0,966.0000000000025,0.0,0.0
FW,6,4,70,0.1111112,1,6,6,1450.0000000000025,537.0000000000025,913.0,1450.0000000000025,0.0,0.0
FW,6,4,73,0.2222222,1,6,6,923.0000000000025,537.0000000000025,386.0,923.0000000000025,0.0,0.0
FW,6,4,79,0.1111112,1,6,6,1318.0000000000025,537.0000000000025,781.0,1318.0000000000025,0.0,0.0
FW,6,4,82,0.2222222,1,6,6,819.0000000000025,537.0000000000025,282.0,819.0000000000025,0.0,0.0
