,NO_PAI,NO,Abertura,PER,PROB
0,0,1,1,1,1.0
1,1,2,1,2,0.02
2,2,3,1,3,1.0
3,3,4,1,4,1.0
4,1,5,2,2,0.02
5,5,6,1,3,1.0
6,6,7,1,4,1.0
7,1,8,3,2,0.02
8,8,9,1,3,1.0
9,9,10,1,4,1.0
10,1,11,4,2,0.02
11,11,12,1,3,1.0
12,12,13,1,4,1.0
13,1,14,5,2,0.02
14,14,15,1,3,1.0
15,15,16,1,4,1.0
16,1,17,6,2,0.02
17,17,18,1,3,1.0
18,18,19,1,4,1.0
19,1,20,7,2,0.02
20,20,21,1,3,1.0
21,21,22,1,4,1.0
22,1,23,8,2,0.02
23,23,24,1,3,1.0
24,24,25,1,4,1.0
25,1,26,9,2,0.02
26,26,27,1,3,1.0
27,27,28,1,4,1.0
28,1,29,10,2,0.02
29,29,30,1,3,1.0
30,30,31,1,4,1.0
31,1,32,11,2,0.02
32,32,33,1,3,1.0
33,33,34,1,4,1.0
34,1,35,12,2,0.02
35,35,36,1,3,1.0
36,36,37,1,4,1.0
37,1,38,13,2,0.02
38,38,39,1,3,1.0
39,39,40,1,4,1.0
40,1,41,14,2,0.02
41,41,42,1,3,1.0
42,42,43,1,4,1.0
43,1,44,15,2,0.02
44,44,45,1,3,1.0
45,45,46,1,4,1.0
46,1,47,16,2,0.02
47,47,48,1,3,1.0
48,48,49,1,4,1.0
49,1,50,17,2,0.02
50,50,51,1,3,1.0
51,51,52,1,4,1.0
52,1,53,18,2,0.02
53,53,54,1,3,1.0
54,54,55,1,4,1.0
55,1,56,19,2,0.02
56,56,57,1,3,1.0
57,57,58,1,4,1.0
58,1,59,20,2,0.02
59,59,60,1,3,1.0
60,60,61,1,4,1.0
61,1,62,21,2,0.02
62,62,63,1,3,1.0
63,63,64,1,4,1.0
64,1,65,22,2,0.02
65,65,66,1,3,1.0
66,66,67,1,4,1.0
67,1,68,23,2,0.02
68,68,69,1,3,1.0
69,69,70,1,4,1.0
70,1,71,24,2,0.02
71,71,72,1,3,1.0
72,72,73,1,4,1.0
73,1,74,25,2,0.02
74,74,75,1,3,1.0
75,75,76,1,4,1.0
76,1,77,26,2,0.02
77,77,78,1,3,1.0
78,78,79,1,4,1.0
79,1,80,27,2,0.02
80,80,81,1,3,1.0
81,81,82,1,4,1.0
82,1,83,28,2,0.02
83,83,84,1,3,1.0
84,84,85,1,4,1.0
85,1,86,29,2,0.02
86,86,87,1,3,1.0
87,87,88,1,4,1.0
88,1,89,30,2,0.02
89,89,90,1,3,1.0
90,90,91,1,4,1.0
91,1,92,31,2,0.02
92,92,93,1,3,1.0
93,93,94,1,4,1.0
94,1,95,32,2,0.02
95,95,96,1,3,1.0
96,96,97,1,4,1.0
97,1,98,33,2,0.02
98,98,99,1,3,1.0
99,99,100,1,4,1.0
100,1,101,34,2,0.02
101,101,102,1,3,1.0
102,102,103,1,4,1.0
103,1,104,35,2,0.02
104,104,105,1,3,1.0
105,105,106,1,4,1.0
106,1,107,36,2,0.02
107,107,108,1,3,1.0
108,108,109,1,4,1.0
109,1,110,37,2,0.02
110,110,111,1,3,1.0
111,111,112,1,4,1.0
112,1,113,38,2,0.02
113,113,114,1,3,1.0
114,114,115,1,4,1.0
115,1,116,39,2,0.02
116,116,117,1,3,1.0
117,117,118,1,4,1.0
118,1,119,40,2,0.02
119,119,120,1,3,1.0
120,120,121,1,4,1.0
121,1,122,41,2,0.02
122,122,123,1,3,1.0
123,123,124,1,4,1.0
124,1,125,42,2,0.02
125,125,126,1,3,1.0
126,126,127,1,4,1.0
127,1,128,43,2,0.02
128,128,129,1,3,1.0
129,129,130,1,4,1.0
130,1,131,44,2,0.02
131,131,132,1,3,1.0
132,132,133,1,4,1.0
133,1,134,45,2,0.02
134,134,135,1,3,1.0
135,135,136,1,4,1.0
136,1,137,46,2,0.02
137,137,138,1,3,1.0
138,138,139,1,4,1.0
139,1,140,47,2,0.02
140,140,141,1,3,1.0
141,141,142,1,4,1.0
142,1,143,48,2,0.02
143,143,144,1,3,1.0
144,144,145,1,4,1.0
145,1,146,49,2,0.02
146,146,147,1,3,1.0
147,147,148,1,4,1.0
148,1,149,50,2,0.02
149,149,150,1,3,1.0
150,150,151,1,4,1.0
